id,question,expected_intent,expected_entities,expected_source_type,expected_source,top_k,metric_applicable,hit_at_k,source_rank,source_type_rank,reciprocal_rank,top_sources,top_source_types,top_titles,error
E001,Que incidencias hay en la A-8?,incidencia_search,carretera=A-8,incidencia,Gobierno Pais Vasco,5,true,true,1,1,1.0000,Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco,incidencia | incidencia | incidencia | incidencia | incidencia, |  |  |  | ,
E002,Hay obras en la N-1?,incidencia_search,carretera=N-1;tipo=obras,incidencia,Gobierno Pais Vasco,5,true,true,1,1,1.0000,Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco,incidencia | incidencia | incidencia | incidencia | incidencia, |  |  |  | ,
E003,Hay accidentes o averias recientes?,incidencia_search,tipo=accidente|averia,incidencia,Gobierno Pais Vasco,5,true,false,,,0.0000,DEIA - Bizkaimove | Ayuntamiento Bilbao | Ayuntamiento Bilbao | Ayuntamiento Bilbao | Ayuntamiento Bilbao,trafico_web | congestion | congestion | congestion | congestion,Un carril cortado (ABADIÑO) |  |  |  | ,
E004,Incidencias en Gipuzkoa?,incidencia_search,provincia=Gipuzkoa,incidencia,Gobierno Pais Vasco,5,true,true,1,1,1.0000,Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco,incidencia | incidencia | incidencia | incidencia | incidencia, |  |  |  | ,
E005,Que pasa en la AP-8?,incidencia_search,carretera=AP-8,incidencia,Gobierno Pais Vasco,5,true,false,,,0.0000,Trafikoa | Trafikoa | Trafikoa | Trafikoa | Trafikoa,camara | camara | camara | camara | camara, |  |  |  | ,
E006,Que camaras hay en Bilbao?,camera_search,municipio=Bilbao,camara,Trafikoa,5,true,false,,,0.0000,Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco,incidencia | incidencia | incidencia | incidencia | incidencia, |  |  |  | ,
E007,Muestrame camaras en la BI-637,camera_search,carretera=BI-637,camara,Trafikoa,5,true,true,2,2,0.5000,Gobierno Pais Vasco | Trafikoa | Trafikoa | Trafikoa | Trafikoa,incidencia | camara | camara | camara | camara, |  |  |  | ,
E008,Camaras con imagen en Bizkaia,camera_search,provincia=Bizkaia;only_with_image=true,camara,Trafikoa,5,true,false,,,0.0000,Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco,incidencia | incidencia | incidencia | incidencia | incidencia, |  |  |  | ,
E009,Hay camara en Enekuri?,camera_search,q=Enekuri,camara,Trafikoa,5,true,true,1,1,1.0000,Trafikoa | Trafikoa | Trafikoa | Trafikoa | Trafikoa,camara | camara | camara | camara | camara, |  |  |  | ,
E010,Ver camaras en A-8,camera_search,carretera=A-8,camara,Trafikoa,5,true,false,,,0.0000,Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco,incidencia | incidencia | incidencia | incidencia | incidencia, |  |  |  | ,
E011,Hay congestion en Bilbao?,congestion_search,municipio=Bilbao,congestion,Ayuntamiento Bilbao,5,true,false,,,0.0000,Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco,incidencia | incidencia | incidencia | incidencia | incidencia, |  |  |  | ,
E012,Nivel de congestion del medidor 248,congestion_search,medidor=248,congestion,Ayuntamiento Bilbao,5,true,true,1,1,1.0000,Ayuntamiento Bilbao | Ayuntamiento Bilbao | Ayuntamiento Bilbao | Ayuntamiento Bilbao | Ayuntamiento Bilbao,congestion | congestion | congestion | congestion | congestion, |  |  |  | ,
E013,Que registros de trafico hay en Bilbao?,congestion_search,municipio=Bilbao,congestion,Ayuntamiento Bilbao,5,true,false,,,0.0000,Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco | Gobierno Pais Vasco,incidencia | incidencia | incidencia | incidencia | incidencia, |  |  |  | ,
E014,Congestion alta en Bilbao?,congestion_search,municipio=Bilbao;nivel=alta,congestion,Ayuntamiento Bilbao,5,true,true,1,1,1.0000,Ayuntamiento Bilbao | Ayuntamiento Bilbao | Ayuntamiento Bilbao | Ayuntamiento Bilbao | Ayuntamiento Bilbao,congestion | congestion | congestion | congestion | congestion, |  |  |  | ,
E015,Que cortes recientes hay en Bilbao?,bilbao_notice_search,municipio=Bilbao;tipo=corte,web_institucional,Ayuntamiento de Bilbao,5,true,true,1,1,1.0000,Ayuntamiento de Bilbao | Ayuntamiento de Bilbao | Ayuntamiento de Bilbao | Gobierno Pais Vasco | Gobierno Pais Vasco,web_institucional | web_institucional | web_institucional | incidencia | incidencia,OCUPACIÓN DE APARCAMIENTO EN LA CALLE HEROS Y EN ALAMEDA MAZARREDO Y CORTES INTERMITENTES DE TRÁFICO EN LA CALLE HEROS | OCUPACIÓN DE APARCAMIENTO EN LAS CALLE CORTES Y SAN FRANCISCO | CORTES DE TRÁFICO Y OCUPACIÓN DE ACERA Y APARCAMIENTOS EN LA CALLE TIBOLI |  | ,
E016,Avisos de movilidad del Ayuntamiento de Bilbao,bilbao_notice_search,municipio=Bilbao,web_institucional,Ayuntamiento de Bilbao,5,true,true,1,1,1.0000,Ayuntamiento de Bilbao | Ayuntamiento de Bilbao | Ayuntamiento de Bilbao | Ayuntamiento de Bilbao | Ayuntamiento de Bilbao,web_institucional | web_institucional | web_institucional | web_institucional | web_institucional,"OCUPACIÓN DE APARCAMIENTO EN LA CALLE HEROS Y EN ALAMEDA MAZARREDO Y CORTES INTERMITENTES DE TRÁFICO EN LA CALLE HEROS | OCUPACIÓN DE APARCAMIENTO EN LAS CALLE CORTES Y SAN FRANCISCO | CORTE DE DOS CARRILES DE CIRCULACIÓN EN ALAMEDA RECALDE, SENTIDO PLAZA MOYÚA | OCUPACIÓN DE CALZADA, ACERA Y APARCAMIENTO EN LA CALLE TXOTENA | CORTES DE TRÁFICO Y OCUPACIÓN DE ACERA Y APARCAMIENTOS EN LA CALLE TIBOLI",
E017,Cortes en la calle Heros,bilbao_notice_search,calle=Heros,web_institucional,Ayuntamiento de Bilbao,5,true,true,1,1,1.0000,Ayuntamiento de Bilbao | Ayuntamiento de Bilbao | Ayuntamiento de Bilbao | Ayuntamiento de Donostia-San Sebastian | Trafikoa,web_institucional | web_institucional | web_institucional | incidencia | camara,OCUPACIÓN DE APARCAMIENTO EN LA CALLE HEROS Y EN ALAMEDA MAZARREDO Y CORTES INTERMITENTES DE TRÁFICO EN LA CALLE HEROS | OCUPACIÓN DE APARCAMIENTO EN LAS CALLE CORTES Y SAN FRANCISCO | CORTES DE TRÁFICO Y OCUPACIÓN DE ACERA Y APARCAMIENTOS EN LA CALLE TIBOLI |  | ,
E018,Avisos sobre aparcamiento en Bilbao,bilbao_notice_search,municipio=Bilbao;tema=aparcamiento,web_institucional,Ayuntamiento de Bilbao,5,true,true,1,1,1.0000,Ayuntamiento de Bilbao | Ayuntamiento de Bilbao | Ayuntamiento de Bilbao | Ayuntamiento de Bilbao | Ayuntamiento de Bilbao,web_institucional | web_institucional | web_institucional | web_institucional | web_institucional,"OCUPACIÓN DE APARCAMIENTO EN LA CALLE HEROS Y EN ALAMEDA MAZARREDO Y CORTES INTERMITENTES DE TRÁFICO EN LA CALLE HEROS | OCUPACIÓN DE APARCAMIENTO EN LAS CALLE CORTES Y SAN FRANCISCO | OCUPACIÓN DE CALZADA, ACERA Y APARCAMIENTO EN LA CALLE TXOTENA | CORTES DE TRÁFICO Y OCUPACIÓN DE ACERA Y APARCAMIENTOS EN LA CALLE TIBOLI | CONTINUACIÓN DEL CORTE DE TRÁFICO Y OCUPACIÓN DEL APARCAMIENTO EN LA TRAVESÍA PÁRROCO UGAZ",
E019,Que obras o cortes aparecen en Bizkaimove?,bizkaimove_search,source=Bizkaimove,trafico_web,DEIA - Bizkaimove,5,true,true,1,1,1.0000,DEIA - Bizkaimove | DEIA - Bizkaimove | DEIA - Bizkaimove | DEIA - Bizkaimove | DEIA - Bizkaimove,trafico_web | trafico_web | trafico_web | trafico_web | trafico_web,Un carril cortado (SONDIKA) | Paso alternativo (MALLABIA) | Sentido cortado (BILBAO) | Un carril cortado (ERMUA) | Arcén cortado (GALDAKAO),
E020,Paso alternativo en Bizkaimove,bizkaimove_search,tipo=paso_alternativo,trafico_web,DEIA - Bizkaimove,5,true,true,1,1,1.0000,DEIA - Bizkaimove | DEIA - Bizkaimove | DEIA - Bizkaimove | DEIA - Bizkaimove | DEIA - Bizkaimove,trafico_web | trafico_web | trafico_web | trafico_web | trafico_web,Paso alternativo (MALLABIA) | Paso alternativo (MALLABIA) | Paso alternativo (AMOROTO) | Paso alternativo (ELORRIO) | Paso alternativo (MALLABIA),
E021,Cortes de carril en Bizkaimove,bizkaimove_search,tipo=corte_carril,trafico_web,DEIA - Bizkaimove,5,true,true,1,1,1.0000,DEIA - Bizkaimove | DEIA - Bizkaimove | DEIA - Bizkaimove | DEIA - Bizkaimove | DEIA - Bizkaimove,trafico_web | trafico_web | trafico_web | trafico_web | trafico_web,Un carril cortado (SONDIKA) | Sentido cortado (BILBAO) | Un carril cortado (ERMUA) | Arcén cortado (GALDAKAO) | Un carril cortado (AMOREBIETA-ETXANO),
E022,Que informacion reciente hay en Bluesky sobre movilidad?,bluesky_search,source=Bluesky,social_media,Bluesky,5,true,true,1,1,1.0000,Bluesky | Bluesky | Ayuntamiento Bilbao | Ayuntamiento Bilbao | DEIA - Bizkaimove,social_media | social_media | congestion | congestion | trafico_web,Post de Bluesky de gipuzkoagaur.bsky.social | Post de Bluesky de bizkaiagaur.bsky.social |  |  | Mediana (BASAURI),
E023,Publicaciones sociales sobre movilidad en Bizkaia,bluesky_search,provincia=Bizkaia,social_media,Bluesky,5,true,false,,,0.0000,Ayuntamiento de Bilbao | Ayuntamiento de Bilbao | Ayuntamiento de Bilbao | Ayuntamiento de Bilbao | Ayuntamiento de Bilbao,web_institucional | web_institucional | web_institucional | web_institucional | web_institucional,"OCUPACIÓN DE APARCAMIENTO EN LA CALLE HEROS Y EN ALAMEDA MAZARREDO Y CORTES INTERMITENTES DE TRÁFICO EN LA CALLE HEROS | OCUPACIÓN DE APARCAMIENTO EN LAS CALLE CORTES Y SAN FRANCISCO | CORTE DE DOS CARRILES DE CIRCULACIÓN EN ALAMEDA RECALDE, SENTIDO PLAZA MOYÚA | OCUPACIÓN DE CALZADA, ACERA Y APARCAMIENTO EN LA CALLE TXOTENA | CORTES DE TRÁFICO Y OCUPACIÓN DE ACERA Y APARCAMIENTOS EN LA CALLE TIBOLI",
E024,Hay datos sobre vuelos cancelados en Loiu?,no_evidence,tema=vuelos,none,NONE,5,false,false,,,0.0000,DEIA - Bizkaimove | Ayuntamiento Bilbao | DEIA - Bizkaimove | DEIA - Bizkaimove | DEIA - Bizkaimove,trafico_web | congestion | trafico_web | trafico_web | trafico_web,Mediana (BASAURI) |  | Arcén cortado (ZEANURI) | Paso alternativo (MENDATA) | Paso alternativo (AMOROTO),
E025,Cual es el precio del metro en Paris?,no_evidence,tema=metro Paris,none,NONE,5,false,false,,,0.0000,Ayuntamiento de Bilbao | Ayuntamiento de Bilbao | Ayuntamiento Bilbao | Ayuntamiento Bilbao | Ayuntamiento Bilbao,web_institucional | web_institucional | congestion | congestion | congestion,"CONTINUACIÓN DEL CORTE DE TRÁFICO Y OCUPACIÓN DEL APARCAMIENTO EN LA TRAVESÍA PÁRROCO UGAZ | OCUPACIÓN DE CALZADA, ACERA Y APARCAMIENTO EN LA CALLE TXOTENA |  |  | ",
